id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,136531,481,892,367,469,672.0,1129.5625,1.002658724784851,0.9817525148391724,0,0,2048,1364
1,149675,826,0,335,545,1056.0,149.1875,0.971179723739624,0.9764556288719177,0,0,2048,1364
2,52090,0,222,177,302,32.0,277.0625,0.9710342884063721,0.9766016602516174,0,0,2048,1364
3,34829,0,524,135,338,32.0,831.1875,0.9707213044166565,0.9658412933349609,0,0,2048,1364
4,3123,1240,714,55,93,1248.0,745.9375,0.9704601764678955,0.9800253510475159,0,0,2048,1364
5,165011,0,754,386,608,96.0,1172.1875,0.9662873148918152,0.9501548409461975,0,0,2048,1364
6,3923,882,826,72,95,928.0,873.8125,0.9656492471694946,0.9842958450317383,0,0,2048,1364
7,97959,954,1002,334,361,1184.0,1300.0625,0.9623148441314697,0.9744539856910706,0,0,2048,1364
8,20132,1151,351,174,190,1248.0,447.5625,0.9595109224319458,0.9685319662094116,0,0,2048,1364
9,20090,1151,351,111,189,1248.0,404.9375,0.9586626291275024,0.9700841903686523,0,0,2048,1364
10,7833,1708,1026,96,119,1760.0,1086.9375,0.9550113677978516,0.974426805973053,0,0,2048,1364
11,6926,2008,1142,39,221,2016.0,1214.8125,0.9540227651596069,0.9784285426139832,0,0,2048,1364
12,44526,325,986,168,377,480.0,1086.9375,0.9521991014480591,0.9640834927558899,0,0,2048,1364
13,84835,1384,992,366,369,1568.0,1172.1875,0.9521515965461731,0.9653042554855347,0,0,2048,1364
14,8747,923,491,81,209,992.0,532.8125,0.9519891142845154,0.9643097519874573,0,0,2048,1364
15,7171,992,419,68,126,1056.0,490.1875,0.9480005502700806,0.9689176082611084,0,0,2048,1364
16,4790,1900,305,147,34,2016.0,319.6875,0.9471604824066162,0.9810035228729248,0,0,2048,1364
17,1610,1462,1191,56,45,1504.0,1214.8125,0.9450163841247559,0.9809113144874573,0,0,2048,1364
18,12224,1818,0,181,123,1952.0,63.9375,0.9442988634109497,0.9572970867156982,0,0,2048,1364
19,15353,586,605,191,129,672.0,660.6875,0.9423418045043945,0.9609884023666382,0,0,2048,1364
20,3377,0,843,48,128,32.0,873.8125,0.9408679008483887,0.953319787979126,0,0,2048,1364
21,88929,488,1074,361,288,544.0,1342.6875,0.9402636289596558,0.9506499767303467,0,0,2048,1364
22,5435,428,867,146,49,480.0,873.8125,0.9386203289031982,0.9700815677642822,0,0,2048,1364
23,3797,132,746,73,99,160.0,788.5625,0.937657356262207,0.9699404239654541,0,0,2048,1364
24,32031,1159,0,100,349,1248.0,63.9375,0.9356338381767273,0.9637348651885986,0,0,2048,1364
25,7939,1319,604,142,106,1376.0,618.0625,0.9343482255935669,0.9512524604797363,0,0,2048,1364
26,21136,391,237,131,260,416.0,362.3125,0.9338030815124512,0.9550390243530273,0,0,2048,1364
27,22304,1269,1176,228,187,1312.0,1342.6875,0.9333182573318481,0.9500459432601929,0,0,2048,1364
28,12938,0,715,135,147,32.0,831.1875,0.933159351348877,0.9530743360519409,0,0,2048,1364
29,15740,1168,0,87,196,1184.0,149.1875,0.9330081939697266,0.956459641456604,0,0,2048,1364
30,2851,1567,911,59,76,1568.0,916.4375,0.9318414926528931,0.9740214943885803,0,0,2048,1364
31,885,983,738,28,37,992.0,745.9375,0.9305065870285034,0.9765363335609436,0,0,2048,1364
32,141236,0,0,356,646,224.0,362.3125,0.9286913275718689,0.9593682885169983,0,0,2048,1364
33,10415,583,644,168,90,672.0,660.6875,0.9279099702835083,0.9528937935829163,0,0,2048,1364
34,26618,1748,0,183,1055,1824.0,319.6875,0.9275432825088501,0.950797438621521,0,0,2048,1364
35,7798,1607,1094,89,150,1632.0,1172.1875,0.9270137548446655,0.9543859362602234,0,0,2048,1364
36,9187,1658,946,65,182,1696.0,1001.6875,0.926769495010376,0.9573131799697876,0,0,2048,1364
37,7494,922,491,82,135,992.0,575.4375,0.9256360530853271,0.9634529948234558,0,0,2048,1364
38,12183,369,658,161,147,480.0,703.3125,0.925371527671814,0.9735861420631409,0,0,2048,1364
39,4798,1072,732,90,86,1120.0,788.5625,0.9233604669570923,0.959967315196991,0,0,2048,1364
40,10263,1422,137,119,130,1440.0,234.4375,0.9232465028762817,0.9549823999404907,0,0,2048,1364
